object,image,state,adj,words_w2v
chocolatebar,chocolatebar_broken.jpg,a,broken,chocolate bar
sweater,sweater_folded.jpg,a,folded,sweater
apple,apple_sliced.jpg,a,sliced,apple
car,car_dirty.jpg,a,dirty,car
chapstick,chapstick_closed.jpg,b,closed,chapstick
salami,salami_unsliced.jpg,b,unsliced,salami
chapstick,chapstick_open.jpg,a,open,chapstick
boot,boot_clean.jpg,b,clean,boot
mirror,mirror_broken.jpg,a,broken,mirror
plate,plate_broken.jpg,a,broken,plate
chain,chain_whole.jpg,b,whole,chain
cracker,cracker_broken.jpg,a,broken,cracker
cabinet,cabinet_closed.jpg,b,closed,cabinet
napkin,napkin_unfolded.jpg,b,unfolded,napkin
hamper,hamper_empty.jpg,a,empty,hamper
kiwi,kiwi_unsliced.jpg,b,unsliced,kiwi
door,door_closed.jpg,b,closed,door
pencil,pencil_whole.jpg,b,whole,pencil
orange,orange_unpeeled.jpg,b,unpeeled,orange
cabinet,cabinet_open.jpg,a,open,cabinet
tire,tire_whole.jpg,b,whole,tire
garlic,garlic_peeled.jpg,a,peeled,garlic
laptop,laptop_open.jpg,a,open,laptop
table,table_whole.jpg,b,whole,table
boot,boot_dirty.jpg,a,dirty,boot
bill,bill_unrolled.jpg,b,unrolled,bill
spoon,spoon_clean.jpg,b,clean,spoon
garbagecan,garbagecan_full.jpg,b,full,garbage can
cup,cup_dirty.jpg,a,dirty,cup
suitcase,suitcase_closed.jpg,b,closed,suitcase
pineapple,pineapple_sliced.jpg,a,sliced,pineapple
rug,rug_rolled.jpg,a,rolled,rug
dishwasher,dishwasher_closed.jpg,b,closed,dishwasher
gate,gate_open.jpg,a,open,gate
chain,chain_broken.jpg,a,broken,chain
shoppingcart,shoppingcart_full.jpg,b,full,shopping cart
book,book_closed.jpg,b,closed,book
kiwi,kiwi_sliced.jpg,a,sliced,kiwi
milkcarton,milkcarton_closed.jpg,b,closed,milk carton
treasurechest,treasurechest_closed.jpg,b,closed,treasure chest
cookie,cookie_broken.jpg,a,broken,cookie
dishwasher,dishwasher_open.jpg,a,open,dishwasher
mirror,mirror_whole.jpg,b,whole,mirror
seatbelt,seatbelt_closed.jpg,b,closed,seatbelt
eggcarton,eggcarton_empty.jpg,a,empty,egg carton
hamper,hamper_full.jpg,b,full,hamper
sleepingbag,sleepingbag_unrolled.jpg,b,unrolled,sleeping bag
dish,dish_dirty.jpg,a,dirty,dish
ladder,ladder_unfolded.jpg,b,unfolded,ladder
eggcarton,eggcarton_full.jpg,b,full,egg carton
laptop,laptop_closed.jpg,b,closed,laptop
naan,naan_whole.jpg,b,whole,naan
paperclip,paperclip_bent.jpg,a,bent,paperclip
nail,nail_bent.jpg,a,bent,nail
hands,hands_clean.jpg,b,clean,hands
garbagecan,garbagecan_empty.jpg,a,empty,garbage can
sugarpacket,sugarpacket_ripped.jpg,a,ripped,sugar packet
chestofdrawers,chestofdrawers_open.jpg,a,open,chest of drawers
banana,banana_peeled.jpg,a,peeled,banana
glasses,glasses_broken.jpg,a,broken,glasses
paperclip,paperclip_straight.jpg,b,straight,paperclip
egg,egg_broken.jpg,a,broken,egg
straw,straw_bent.jpg,a,bent,straw
onion,onion_peeled.jpg,a,peeled,onion
cdplayer,cdplayer_open.jpg,a,open,cd player
banana,banana_unpeeled.jpg,b,unpeeled,banana
chipbag,chipbag_ripped.jpg,a,ripped,chip bag
pig,pig_dirty.jpg,a,dirty,pig
can,can_open.jpg,a,open,can
cigarette,cigarette_whole.jpg,b,whole,cigarette
vase,vase_broken.jpg,a,broken,vase
ladder,ladder_folded.jpg,a,folded,ladder
towel,towel_unfolded.jpg,b,unfolded,towel
carrot,carrot_peeled.jpg,a,peeled,carrot
cigarette,cigarette_broken.jpg,a,broken,cigarette
bucket,bucket_dirty.jpg,a,dirty,bucket
table,table_broken.jpg,a,broken,table
road,road_straight.jpg,b,straight,road
sugarpacket,sugarpacket_whole.jpg,b,whole,sugar packet
notepad,notepad_ripped.jpg,a,ripped,notepad
rug,rug_unrolled.jpg,b,unrolled,rug
pot,pot_closed.jpg,b,closed,pot
chestofdrawers,chestofdrawers_closed.jpg,b,closed,chest of drawers
potato,potato_clean.jpg,b,clean,potato
lock,lock_closed.jpg,b,closed,lock
pencil,pencil_broken.jpg,a,broken,pencil
onion,onion_unpeeled.jpg,b,unpeeled,onion
cup,cup_clean.jpg,b,clean,cup
treasurechest,treasurechest_open.jpg,a,open,treasure chest
eye,eye_closed.jpg,b,closed,eye
bill,bill_rolled.jpg,a,rolled,bill
stapler,stapler_closed.jpg,b,closed,stapler
road,road_curved.jpg,a,curved,road
microwave,microwave_closed.jpg,b,closed,microwave
door,door_open.jpg,a,open,door
shoppingcart,shoppingcart_empty.jpg,a,empty,shopping cart
notepad,notepad_whole.jpg,b,whole,notepad
staircase,staircase_curved.jpg,a,curved,staircase
microwave,microwave_open.jpg,a,open,microwave
shoelace,shoelace_tied.jpg,a,tied,shoelace
gate,gate_closed.jpg,b,closed,gate
pickle,pickle_unsliced.jpg,b,unsliced,pickle
straw,straw_straight.jpg,b,straight,straw
shoelace,shoelace_untied.jpg,b,untied,shoelace
chocolatebar,chocolatebar_whole.jpg,b,whole,chocolate bar
garlic,garlic_unpeeled.jpg,b,unpeeled,garlic
fence,fence_broken.jpg,a,broken,fence
jar,jar_full.jpg,b,full,jar
paper,paper_folded.jpg,a,folded,paper
juicebottle,juicebottle_closed.jpg,b,closed,juice bottle
shoe,shoe_dirty.jpg,a,dirty,shoe
watermelon,watermelon_sliced.jpg,a,sliced,watermelon
stovetop,stovetop_clean.jpg,b,clean,stovetop
piggybank,piggybank_whole.jpg,b,whole,piggybank
cookie,cookie_whole.jpg,b,whole,cookie
couch,couch_clean.jpg,b,clean,couch
potato,potato_dirty.jpg,a,dirty,potato
waterbottle,waterbottle_open.jpg,a,open,waterbottle
filefolder,filefolder_open.jpg,a,open,file folder
vase,vase_whole.jpg,b,whole,vase
envelope,envelope_whole.jpg,b,whole,envelope
blanket,blanket_unfolded.jpg,b,unfolded,blanket
naan,naan_ripped.jpg,a,ripped,naan
pig,pig_clean.jpg,b,clean,pig
bread,bread_unsliced.jpg,b,unsliced,bread
gloves,gloves_clean.jpg,b,clean,gloves
milkcarton,milkcarton_open.jpg,a,open,milk carton
car,car_clean.jpg,b,clean,car
wineglass,wineglass_full.jpg,b,full,wineglass
gloves,gloves_dirty.jpg,a,dirty,gloves
fridge,fridge_closed.jpg,b,closed,fridge
safetypin,safetypin_bent.jpg,a,bent,safety pin
backpack,backpack_open.jpg,a,open,backpack
pineapple,pineapple_unsliced.jpg,b,unsliced,pineapple
wallet,wallet_open.jpg,a,open,wallet
cracker,cracker_whole.jpg,b,whole,cracker
apple,apple_unsliced.jpg,b,unsliced,apple
lawnchair,lawnchair_folded.jpg,a,folded,lawnchair
chipbag,chipbag_whole.jpg,b,whole,chip bag
watermelon,watermelon_unsliced.jpg,b,unsliced,watermelon
