noun,files,prompt,answer,adjectives,state_A_adj,state_B_adj
can,"['can_closed.jpg', 'can_open.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE can'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a sealed can
2. an unopened can
3. a closed can

Image 2:
4. an open can
5. an opened can
6. a partially opened can","['sealed', 'unopened', 'closed', 'open', 'opened', 'partially opened']","['sealed', 'unopened', 'closed']","['open', 'opened', 'partially opened']"
car,"['car_clean.jpg', 'car_dirty.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE car'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a blue car
2. a clean car
3. a sporty car

Image 2:
1. a dirty car
2. a grimy car
3. a salt-streaked car","['blue', 'clean', 'sporty', 'dirty', 'grimy', 'salt-streaked']","['blue', 'clean', 'sporty']","['dirty', 'grimy', 'salt-streaked']"
carrot,"['carrot_unpeeled.jpg', 'carrot_peeled.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE carrot'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a baby carrot
2. a peeled carrot
3. a slender carrot

Image 2:
1. a whole carrot
2. an unpeeled carrot
3. a large carrot","['baby', 'peeled', 'slender', 'whole', 'unpeeled', 'large']","['baby', 'peeled', 'slender']","['whole', 'unpeeled', 'large']"
cdplayer,"['cdplayer_closed.jpg', 'cdplayer_open.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE cdplayer'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a closed cdplayer
2. a silver cdplayer
3. a portable cdplayer

Image 2:
1. an open cdplayer
2. a silver cdplayer
3. a disc-loaded cdplayer","['closed', 'silver', 'portable', 'open', 'silver', 'disc-loaded']","['closed', 'silver', 'portable']","['open', 'silver', 'disc-loaded']"
chain,"['chain_whole.jpg', 'chain_broken.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE chain'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1 (broken link)
1. a broken chain
2. a snapped chain
3. a damaged chain

Image 2 (undamaged)
1. an intact chain
2. a complete chain
3. a sturdy chain","['broken', 'snapped', 'damaged', 'intact', 'complete', 'sturdy']","['broken', 'snapped', 'damaged']","['intact', 'complete', 'sturdy']"
chapstick,"['chapstick_open.jpg', 'chapstick_closed.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE chapstick'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a capped chapstick
2. a closed chapstick
3. an unopened chapstick

Image 2:
1. an uncapped chapstick
2. an open chapstick
3. a capless chapstick","['capped', 'closed', 'unopened', 'uncapped', 'open', 'capless']","['capped', 'closed', 'unopened']","['uncapped', 'open', 'capless']"
chestofdrawers,"['chestofdrawers_open.jpg', 'chestofdrawers_closed.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE chestofdrawers'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","1) a closed chestofdrawers
2) a closed white chestofdrawers
3) a closed three-drawer chestofdrawers

4) an open chestofdrawers
5) an open white chestofdrawers
6) an open three-drawer chestofdrawers","['closed', 'closed white', 'closed three-drawer', 'open', 'open white', 'open three-drawer']","['closed', 'closed white', 'closed three-drawer']","['open', 'open white', 'open three-drawer']"
chipbag,"['chipbag_ripped.jpg', 'chipbag_whole.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE chipbag'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1 (left)
1. a crumpled chipbag
2. an opened chipbag
3. a half-empty chipbag

Image 2 (right)
1. an unopened chipbag
2. a sealed chipbag
3. a full chipbag","['crumpled', 'opened', 'half-empty', 'unopened', 'sealed', 'full']","['crumpled', 'opened', 'half-empty']","['unopened', 'sealed', 'full']"
chocolatebar,"['chocolatebar_broken.jpg', 'chocolatebar_whole.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE chocolatebar'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","a broken chocolate bar
a cracked chocolate bar
a damaged chocolate bar

a whole chocolate bar
an intact chocolate bar
an unbroken chocolate bar",[],[],[]
cigarette,"['cigarette_broken.jpg', 'cigarette_whole.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE cigarette'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a broken cigarette
2. a snapped cigarette
3. a bent cigarette

Image 2:
1. an unlit cigarette
2. an unused cigarette
3. an intact cigarette","['broken', 'snapped', 'bent', 'unlit', 'unused', 'intact']","['broken', 'snapped', 'bent']","['unlit', 'unused', 'intact']"
cookie,"['cookie_whole.jpg', 'cookie_broken.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE cookie'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1 (broken): 
1. a broken cookie
2. a crumbled cookie
3. a smashed cookie

Image 2 (whole): 
1. a chocolate chip cookie
2. a whole cookie
3. an intact cookie","['broken', 'crumbled', 'smashed', 'chocolate chip', 'whole', 'intact']","['broken', 'crumbled', 'smashed']","['chocolate chip', 'whole', 'intact']"
couch,"['couch_clean.jpg', 'couch_dirty.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE couch'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a beige couch
2. a clean couch
3. a pristine couch

Image 2:
1. a stained couch
2. a soiled couch
3. a dirty couch","['beige', 'clean', 'pristine', 'stained', 'soiled', 'dirty']","['beige', 'clean', 'pristine']","['stained', 'soiled', 'dirty']"
cracker,"['cracker_broken.jpg', 'cracker_whole.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE cracker'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1 (broken):
1. a broken cracker
2. a cracked cracker
3. a crumbled cracker

Image 2 (whole):
1. a whole cracker
2. an intact cracker
3. an unbroken cracker","['broken', 'cracked', 'crumbled', 'whole', 'intact', 'unbroken']","['broken', 'cracked', 'crumbled']","['whole', 'intact', 'unbroken']"
cup,"['cup_dirty.jpg', 'cup_clean.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE cup'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a clean cup
2. an unused cup
3. a new cup

Image 2:
1. a used cup
2. a dirty cup
3. a stained cup","['clean', 'unused', 'new', 'used', 'dirty', 'stained']","['clean', 'unused', 'new']","['used', 'dirty', 'stained']"
dish,"['dish_clean.jpg', 'dish_dirty.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE dish'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","First image:
1. a clean dish
2. an empty dish
3. a pristine dish

Second image:
1. a dirty dish
2. a stained dish
3. a soiled dish","['clean', 'empty', 'pristine', 'dirty', 'stained', 'soiled']","['clean', 'empty', 'pristine']","['dirty', 'stained', 'soiled']"
dishwasher,"['dishwasher_open.jpg', 'dishwasher_closed.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE dishwasher'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1 (closed):
1. an old dishwasher
2. a closed dishwasher
3. a vintage dishwasher

Image 2 (open, with dishes):
1. an open dishwasher
2. a loaded dishwasher
3. a vintage dishwasher","['old', 'closed', 'vintage', 'open', 'loaded', 'vintage']","['old', 'closed', 'vintage']","['open', 'loaded', 'vintage']"
door,"['door_closed.jpg', 'door_open.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE door'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a closed door
2. a wooden door
3. a paneled door

Image 2:
1. an open door
2. a partially open door
3. a wooden door","['closed', 'wooden', 'paneled', 'open', 'partially open', 'wooden']","['closed', 'wooden', 'paneled']","['open', 'partially open', 'wooden']"
egg,"['egg_broken.jpg', 'egg_whole.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE egg'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a broken egg
2. a cracked egg
3. a spilled egg

Image 2:
1. a whole egg
2. an unbroken egg
3. an intact egg","['broken', 'cracked', 'spilled', 'whole', 'unbroken', 'intact']","['broken', 'cracked', 'spilled']","['whole', 'unbroken', 'intact']"
eggcarton,"['eggcarton_empty.jpg', 'eggcarton_full.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE eggcarton'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. an empty eggcarton
2. an open eggcarton
3. a clean eggcarton

Image 2:
1. a full eggcarton
2. an egg-filled eggcarton
3. a twelve-egg eggcarton","['empty', 'open', 'clean', 'full', 'egg-filled', 'twelve-egg']","['empty', 'open', 'clean']","['full', 'egg-filled', 'twelve-egg']"
envelope,"['envelope_ripped.jpg', 'envelope_whole.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE envelope'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. an open envelope
2. an unsealed envelope
3. a torn envelope

Image 2:
1. a sealed envelope
2. a closed envelope
3. a windowed envelope","['open', 'unsealed', 'torn', 'sealed', 'closed', 'windowed']","['open', 'unsealed', 'torn']","['sealed', 'closed', 'windowed']"
eye,"['eye_closed.jpg', 'eye_open.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE eye'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
- a closed eye
- a shut eye
- a sleeping eye

Image 2:
- an open eye
- a blue eye
- an alert eye","['closed', 'shut', 'sleeping', 'open', 'blue', 'alert']","['closed', 'shut', 'sleeping']","['open', 'blue', 'alert']"
fence,"['fence_whole.jpg', 'fence_broken.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE fence'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a broken fence
2. a damaged fence
3. a dilapidated fence

Image 2:
1. a sturdy fence
2. an intact fence
3. a well-maintained fence","['broken', 'damaged', 'dilapidated', 'sturdy', 'intact', 'well-maintained']","['broken', 'damaged', 'dilapidated']","['sturdy', 'intact', 'well-maintained']"
filefolder,"['filefolder_open.jpg', 'filefolder_closed.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE filefolder'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a closed filefolder
2. a manila filefolder
3. a tabbed filefolder

Image 2:
1. an open filefolder
2. a manila filefolder
3. an unfolded filefolder","['closed', 'manila', 'tabbed', 'open', 'manila', 'unfolded']","['closed', 'manila', 'tabbed']","['open', 'manila', 'unfolded']"
fridge,"['fridge_open.jpg', 'fridge_closed.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE fridge'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1 (closed):
1. a closed fridge
2. a white fridge
3. a top-freezer fridge

Image 2 (open):
1. an open fridge
2. an open, partially stocked fridge
3. an open, mostly empty fridge","['closed', 'white', 'top-freezer', 'open']","['closed', 'white', 'top-freezer']",['open']
garbagecan,"['garbagecan_full.jpg', 'garbagecan_empty.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE garbagecan'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","For the first (empty) image:
1. an empty garbagecan
2. a clean garbagecan
3. an unused garbagecan

For the second (full) image:
1. an overflowing garbagecan
2. a full garbagecan
3. a crumpled-paper-filled garbagecan","['empty', 'clean', 'unused', 'overflowing', 'full', 'crumpled-paper-filled']","['empty', 'clean', 'unused']","['overflowing', 'full', 'crumpled-paper-filled']"
garlic,"['garlic_peeled.jpg', 'garlic_unpeeled.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE garlic'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1 (peeled cloves)
1. a peeled garlic clove
2. a fresh garlic clove
3. an individual garlic clove

Image 2 (cloves with papery skin)
1. an unpeeled garlic clove
2. a papery garlic clove
3. an intact garlic clove","['peeled', 'fresh', 'individual', 'unpeeled', 'papery', 'intact']","['peeled', 'fresh', 'individual']","['unpeeled', 'papery', 'intact']"
gate,"['gate_open.jpg', 'gate_closed.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE gate'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1 (closed):
1. a closed gate
2. a closed wrought-iron gate
3. an arched gate

Image 2 (open):
1. an open gate
2. an open wrought-iron gate
3. an open double gate","['closed', 'closed wrought-iron', 'arched', 'open', 'open wrought-iron', 'open double']","['closed', 'closed wrought-iron', 'arched']","['open', 'open wrought-iron', 'open double']"
glasses,"['glasses_whole.jpg', 'glasses_broken.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE glasses'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a broken glasses
2. a damaged glasses
3. a bent glasses

Image 2:
1. a prescription glasses
2. a new glasses
3. an intact glasses","['broken', 'damaged', 'bent', 'prescription', 'new', 'intact']","['broken', 'damaged', 'bent']","['prescription', 'new', 'intact']"
gloves,"['gloves_dirty.jpg', 'gloves_clean.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE gloves'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a clean gloves
2. a new gloves
3. a pristine gloves

Image 2:
1. a dirty gloves
2. a stained gloves
3. a soiled gloves","['clean', 'new', 'pristine', 'dirty', 'stained', 'soiled']","['clean', 'new', 'pristine']","['dirty', 'stained', 'soiled']"
hamper,"['hamper_full.jpg', 'hamper_empty.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE hamper'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. an empty hamper
2. a clean hamper
3. a wicker hamper

Image 2:
1. a full hamper
2. a laundry-filled hamper
3. a clothes-filled hamper","['empty', 'clean', 'wicker', 'full', 'laundry-filled', 'clothes-filled']","['empty', 'clean', 'wicker']","['full', 'laundry-filled', 'clothes-filled']"
hands,"['hands_clean.jpg', 'hands_dirty.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE hands'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a pair of clean hands
2. a pair of open hands
3. a pair of empty hands

Image 2:
1. a pair of dirty hands
2. a pair of muddy hands
3. a pair of stained hands","['pair of clean', 'pair of open', 'pair of empty', 'pair of dirty', 'pair of muddy', 'pair of stained']","['pair of clean', 'pair of open', 'pair of empty']","['pair of dirty', 'pair of muddy', 'pair of stained']"
jar,"['jar_full.jpg', 'jar_empty.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE jar'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. an empty jar
2. a glass jar
3. a lidded jar

Image 2:
1. a full jar
2. a granola-filled jar
3. a lidded jar","['empty', 'glass', 'lidded', 'full', 'granola-filled', 'lidded']","['empty', 'glass', 'lidded']","['full', 'granola-filled', 'lidded']"
juicebottle,"['juicebottle_open.jpg', 'juicebottle_closed.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE juicebottle'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. an unopened juicebottle
2. a closed juicebottle
3. a capped juicebottle

Image 2:
1. an open juicebottle
2. an uncapped juicebottle
3. a flip-top juicebottle","['unopened', 'closed', 'capped', 'open', 'uncapped', 'flip-top']","['unopened', 'closed', 'capped']","['open', 'uncapped', 'flip-top']"
kiwi,"['kiwi_sliced.jpg', 'kiwi_unsliced.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE kiwi'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1 (sliced):
1. a sliced kiwi
2. a cut kiwi
3. a partially sliced kiwi

Image 2 (whole):
1. a whole kiwi
2. an uncut kiwi
3. an unpeeled kiwi","['sliced', 'cut', 'partially sliced', 'whole', 'uncut', 'unpeeled']","['sliced', 'cut', 'partially sliced']","['whole', 'uncut', 'unpeeled']"
ladder,"['ladder_folded.jpg', 'ladder_unfolded.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE ladder'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1 (folded/collapsed):
1. a folded ladder
2. a collapsed ladder
3. a compact ladder

Image 2 (open/A‑frame):
1. an A-frame ladder
2. an open ladder
3. an unfolded ladder","['folded', 'collapsed', 'compact', 'A-frame', 'open', 'unfolded']","['folded', 'collapsed', 'compact']","['A-frame', 'open', 'unfolded']"
laptop,"['laptop_open.jpg', 'laptop_closed.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE laptop'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a closed laptop
2. a slim laptop
3. a silver laptop

Image 2:
1. a partially open laptop
2. an open laptop
3. a tilted laptop","['closed', 'slim', 'silver', 'partially open', 'open', 'tilted']","['closed', 'slim', 'silver']","['partially open', 'open', 'tilted']"
lawnchair,"['lawnchair_unfolded.jpg', 'lawnchair_folded.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE lawnchair'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1 (folded):
1. a folded lawnchair
2. a collapsed lawnchair
3. a closed lawnchair

Image 2 (open):
1. an unfolded lawnchair
2. an open lawnchair
3. an upright lawnchair","['folded', 'collapsed', 'closed', 'unfolded', 'open', 'upright']","['folded', 'collapsed', 'closed']","['unfolded', 'open', 'upright']"
lime,"['lime_unsliced.jpg', 'lime_sliced.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE lime'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a sliced lime
2. a halved lime
3. a cut lime

Image 2:
1. a whole lime
2. a fresh lime
3. an uncut lime","['sliced', 'halved', 'cut', 'whole', 'fresh', 'uncut']","['sliced', 'halved', 'cut']","['whole', 'fresh', 'uncut']"
lock,"['lock_open.jpg', 'lock_closed.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE lock'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1 (closed):
1. a locked lock
2. a closed lock
3. a latched lock

Image 2 (open):
1. an open lock
2. an unlocked lock
3. an unlatched lock","['locked', 'closed', 'latched', 'open', 'unlocked', 'unlatched']","['locked', 'closed', 'latched']","['open', 'unlocked', 'unlatched']"
magnet,"['magnet_straight.jpg', 'magnet_bent.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE magnet'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1) an L-shaped magnet
2) a bent magnet
3) an elbow magnet

Image 2:
1) a horseshoe magnet
2) a U-shaped magnet
3) a curved magnet","['L-shaped', 'bent', 'elbow', 'horseshoe', 'U-shaped', 'curved']","['L-shaped', 'bent', 'elbow']","['horseshoe', 'U-shaped', 'curved']"
marker,"['marker_closed.jpg', 'marker_open.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE marker'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1 (cap on):
1. a capped marker
2. a closed marker
3. a sealed marker

Image 2 (cap off):
1. an uncapped marker
2. an open marker
3. an exposed marker","['capped', 'closed', 'sealed', 'uncapped', 'open', 'exposed']","['capped', 'closed', 'sealed']","['uncapped', 'open', 'exposed']"
microwave,"['microwave_open.jpg', 'microwave_closed.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE microwave'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a closed microwave
2. a shut microwave
3. a stainless-steel microwave

Image 2:
1. an open microwave
2. an ajar microwave
3. an open stainless-steel microwave","['closed', 'shut', 'stainless-steel', 'open', 'ajar', 'open stainless-steel']","['closed', 'shut', 'stainless-steel']","['open', 'ajar', 'open stainless-steel']"
milkcarton,"['milkcarton_closed.jpg', 'milkcarton_open.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE milkcarton'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. an unopened milkcarton
2. a full milkcarton
3. a sealed milkcarton

Image 2:
1. a crushed milkcarton
2. a crumpled milkcarton
3. an opened milkcarton","['unopened', 'full', 'sealed', 'crushed', 'crumpled', 'opened']","['unopened', 'full', 'sealed']","['crushed', 'crumpled', 'opened']"
mirror,"['mirror_whole.jpg', 'mirror_broken.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE mirror'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
a cracked mirror
a broken mirror
a shattered mirror

Image 2:
a clean mirror
a polished mirror
an intact mirror","['cracked', 'broken', 'shattered', 'clean', 'polished', 'intact']","['cracked', 'broken', 'shattered']","['clean', 'polished', 'intact']"
naan,"['naan_whole.jpg', 'naan_ripped.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE naan'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a half-eaten naan
2. a bitten naan
3. a torn naan

Image 2:
1. a whole naan
2. a round naan
3. a plain naan","['half-eaten', 'bitten', 'torn', 'whole', 'round', 'plain']","['half-eaten', 'bitten', 'torn']","['whole', 'round', 'plain']"
nail,"['nail_straight.jpg', 'nail_bent.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE nail'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a bent nail
2. a crooked nail
3. a hooked nail

Image 2:
1. a straight nail
2. an unbent nail
3. an intact nail","['bent', 'crooked', 'hooked', 'straight', 'unbent', 'intact']","['bent', 'crooked', 'hooked']","['straight', 'unbent', 'intact']"
